dev_precision,dev_recall,dev_micro_f1,dev_macro_f1,train_precision,train_recall,train_micro_f1,train_macro_f1
0.9452269,0.2698838,0.4198818,0.07361758,0.5650646,0.074078225,0.13098475,0.022173189
0.9241735,0.45382783,0.6087304,0.20232084,0.91683,0.39592904,0.5530331,0.15349627
0.9194805,0.5799821,0.7112978,0.38610503,0.9185999,0.5611582,0.6967083,0.345911
0.9055228,0.64144576,0.7509445,0.4755936,0.92620176,0.6610851,0.77150285,0.48663512
0.8867678,0.6734187,0.7655059,0.5242565,0.93139875,0.7117567,0.8068978,0.56103694
0.8840441,0.68851155,0.7741215,0.545305,0.93407613,0.74072826,0.8262416,0.60271007
0.8762221,0.7074769,0.7828595,0.561537,0.9387326,0.761744,0.8410277,0.63285786
0.88539773,0.7023136,0.7832997,0.5585981,0.937836,0.7755059,0.84898096,0.6487258
0.8801431,0.70837057,0.78496957,0.5649822,0.9404648,0.7841345,0.8552142,0.66264886
0.8665839,0.7278324,0.79117084,0.5864108,0.9440238,0.79458517,0.86288214,0.67944425
0.8796178,0.71755534,0.79036444,0.58210045,0.94397134,0.800508,0.8663405,0.6888829
0.86381936,0.7350313,0.7942383,0.59482723,0.94517255,0.8070403,0.87066174,0.6981706
0.8793155,0.7270877,0.7959888,0.5913858,0.9468059,0.8137821,0.87526864,0.7067072
0.8626713,0.7282296,0.7897698,0.58570254,0.94770545,0.8183618,0.8782972,0.71648234
0.87846714,0.71700925,0.7895686,0.58898044,0.94792473,0.8231111,0.8811198,0.7216208
0.87627244,0.7180022,0.78928125,0.5949512,0.94769704,0.8243575,0.8817349,0.7252965
0.86303854,0.73299575,0.7927193,0.59980106,0.9484196,0.8263599,0.8831924,0.73009175
0.8736241,0.7289743,0.79477113,0.601402,0.94991535,0.8314968,0.8867701,0.73533416
0.8753847,0.72018665,0.7902378,0.60119504,0.9502334,0.83649224,0.8897425,0.74299395
0.87623525,0.72197396,0.7916599,0.6030792,0.9528273,0.84152806,0.8937258,0.75170505
